"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"151",11,"Xavier Restrepo",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"152",11,"Elijah Moore",PHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"153",11,"Tim Patrick",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"154",11,"Theo Wease Jr.",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-41"
"155",11,"Reggie Virgil",ARI,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"156",11,"Josh Cameron",JAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"157",11,"Colbie Young",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-22"
"158",11,"Roman Wilson",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"159",11,"Diontae Johnson",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"160",11,"Antwane Wells Jr.",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"161",11,"JuJu Smith-Schuster",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"162",11,"Tyler Lockett",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"163",11,"Marquez Valdes-Scantling",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"164",11,"David Sills V",TB,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"165",11,"Jimmy Horn Jr.",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"166",11,"Arian Smith",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"167",12,"DeAndre Hopkins",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"168",12,"Barion Brown",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
