"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"30",5,"Carnell Tate",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"31",5,"Marvin Harrison Jr.",ARI,"14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0"
"32",5,"Courtland Sutton",DEN,"10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5"
"33",5,"Alec Pierce",IND,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"34",5,"DK Metcalf",PIT,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"35",5,"Michael Wilson",ARI,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+4"
"36",5,"Chris Godwin Jr.",TB,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"37",5,"Jordyn Tyson",NO,"8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4"
"38",5,"Michael Pittman Jr.",PIT,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5"
"39",5,"Jakobi Meyers",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+6"
"40",6,"Wan'Dale Robinson",TEN,"9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8"
"41",6,"Brian Thomas Jr.",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"42",6,"Makai Lemon",PHI,"10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4"
"43",6,"Parker Washington",JAC,"7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-9"
"44",6,"Josh Downs",IND,"13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3"
"45",6,"Ricky Pearsall",SF,"8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"46",6,"Jordan Addison",MIN,"6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","0"
