"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"37",5,"Jake Tonges",SF,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-4"
"38",5,"Mike Gesicki",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-4"
"39",6,"Greg Dulcich",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-10"
"40",6,"Darnell Washington",PIT,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+5"
"41",6,"Tyler Higbee",LAR,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+12"
"42",6,"Noah Gray",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+12"
"43",6,"Elijah Arroyo",SEA,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+4"
"44",6,"Ja'Tavion Sanders",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+5"
"45",6,"Michael Mayer",LV,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-4"
"46",6,"Justin Joly",DEN,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+10"
"47",7,"Cole Kmet",CHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+10"
"48",7,"Dawson Knox",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+4"
"49",7,"John Bates",WAS,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"50",7,"Darren Waller",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-15"
"51",7,"Ben Sinnott",WAS,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-3"
"52",7,"Tommy Myers",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"53",7,"Luke Musgrave",GB,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-15"
"54",7,"Noah Fant",NO,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"55",7,"Austin Hooper",ATL,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"56",7,"Elijah Higgins",ARI,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-14"
"57",7,"Tommy Tremble",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-11"
"58",7,"Mitchell Evans",CAR,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"59",7,"Eli Raridon",NE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-15"
"60",7,"Erick All Jr.",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"61",7,"Zach Ertz",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-11"
"62",7,"Daniel Bellinger",TEN,"9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"63",7,"Marlin Klein",HOU,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"64",7,"Jonnu Smith",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-9"
"65",7,"Durham Smythe",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"66",8,"Nate Boerkircher",JAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"67",8,"Jackson Hawes",BUF,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"68",8,"Luke Schoonmaker",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"69",8,"Sam Roush",CHI,"10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"70",8,"Tyler Conklin",DET,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"71",8,"Josh Oliver",MIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"72",8,"Jack Endries",CIN,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"73",8,"Michael Trigg",DAL,"14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"74",8,"Will Kacmarek",MIA,"6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"75",8,"Tanner Koziol",JAC,"7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"76",8,"Jared Wiley",KC,"5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"77",8,"Thomas Fidone II",NYG,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"78",8,"Will Dissly",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"79",8,"Taysom Hill",FA,"-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-43"
"80",8,"Jeremy Ruckert",NYJ,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"81",9,"Matt Hibner",BAL,"13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"82",9,"Joe Royer",CLE,"11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"83",9,"Foster Moreau",HOU,"8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
